// WANTED! FOR HALF-LIFE SPEECH SYSTEM SENTENCES. 28/11/00

//***********************
//****     Gunbelt   ****
//**** v1.1 10/10/00 ****
//***********************

//Player dies
HEV_DEAD0 voice/null
HO_ATTACK1 hoss/igotem
HO_ATTACK2 hoss/standback
HO_ATTACK3 hoss/aimforbelly
HO_ATTACK4 hoss/takethis
HO_ATTACK5 hoss/reachsky

// Hoss hears something
HO_HEAR0 hoss/sshhquietdown
HO_HEAR1 hoss/hearthatnoise
HO_HEAR2 hoss/dontlikesound

// Hoss smells something
HO_SMELL0 hoss/somethindied
HO_SMELL1 hoss/smellsbad
HO_SMELL2 hoss/smellsbaad

// Hoss sees a wounded player
HO_CUREA hoss/doclookat
HO_CUREB hoss/needstitch
HO_CUREC hoss/bulletstilin

// Hoss is scared by player actions
HO_SCARED0 hoss/nothurting
HO_SCARED1 hoss/whataredoing

// Hoss is wounded
HO_WOUND0 hoss/imhit
HO_WOUND1 hoss/goingtoscar

// Hoss is mortaly wounded
HO_MORTAL0 hoss/hurtrealbad

// Player has shot Hoss
HO_SHOT0 hoss/waititsme
HO_SHOT1 hoss/whathaveidone
HO_SHOT2 hoss/whatblazes
HO_SHOT3 hoss/thatsmarts
HO_SHOT4 hoss/careful
HO_SHOT5 hoss/whatthe

// Hoss is mad at the player
HO_MAD0 hoss/ifthatstheway
HO_MAD1 hoss/neverthought
HO_MAD2 hoss/okthatsit
HO_MAD3 hoss/iainttakinno
HO_MAD4 hoss/iwanrnedyou
HO_MAD5 hoss/madassnake
HO_MAD6 hoss/quickordead

// Hoss has killed something
HO_KILL0 hoss/gotone
HO_KILL1 hoss/gotanother
HO_KILL2 hoss/surewasugly
HO_KILL3 hoss/didyouseethat
HO_KILL4 hoss/practice
HO_KILL5 hoss/wildwest
HO_KILL6 hoss/crackshot

// Hoss cant oblige when you use him (Pre Massacre)
HO_POK0 hoss/busynow
HO_POK1 hoss/waterhorse
HO_POK2 hoss/seeyoulater
HO_POK3 hoss/cantnowsorry

// Hoss cant follow you anymore
HO_STOP0 hoss/cantgoon
HO_STOP1 hoss/twistankle
HO_STOP2 hoss/catchbreath

//***********************
//*** Western Townies ***
//***********************

// When USED and told to follow
WA_OK0 twnwest/alwayswanted
WA_OK1 twnwest/oksheriff
WA_OK2 twnwest/thatsjustfine
WA_OK3 twnwest/ihopeyoukno
WA_OK4 twnwest/illberightb
WA_OK5 twnwest/letssaddleup
WA_OK6 twnwest/okletsgo
WA_OK7 twnwest/yup
WA_OK8 twnwest/allright

// When USED and told to stay
WA_WAIT0 twnwest/yougoonslow
WA_WAIT1 twnwest/gooncatchup
WA_WAIT2 twnwest/erryousure
WA_WAIT3 twnwest/yeraintgoin
WA_WAIT4 twnwest/ithinkilljust
WA_WAIT5 twnwest/illfireashot
WA_WAIT6 twnwest/juststayaspell

// Fail to follow player any more
WA_STOP0 twnwest/stoneinmyboot
WA_STOP1 twnwest/cantgofurther
WA_STOP2 twnwest/notwithoutarifle
WA_STOP3 twnwest/toodangerous

// Player is staring at Townie
WA_STARE0 twnwest/iguess
WA_STARE1 twnwest/areyouthinkin
WA_STARE2 twnwest/whatisit

// Post masacre hellos 
WA_HELLO0 twnwest/howdypardner
WA_HELLO1 twnwest/givenyouup
WA_HELLO2 twnwest/seeyoualive
WA_HELLO3 twnwest/pinebox
WA_HELLO4 twnwest/hello
WA_HELLO5 twnwest/goodtoseeyou
WA_HELLO6 twnwest/gunbeltlikethat
WA_HELLO7 twnwest/heytheresherrif
WA_HELLO8 twnwest/Howdy

//Generic Post Masacre Questions
WA_QUESTION0 twnwest/seenanything
WA_QUESTION1 twnwest/useshuteye
WA_QUESTION2 twnwest/youthinkin
WA_QUESTION3 twnwest/outaherealive
WA_QUESTION4 twnwest/waytosaftey
WA_QUESTION5 twnwest/cantgetworse
WA_QUESTION6 twnwest/cavelryrescue
WA_QUESTION7 twnwest/wonderaboutdyin
WA_QUESTION8 twnwest/olddays
WA_QUESTION9 twnwest/luckchange
WA_QUESTION10 twnwest/hearsomethin
WA_QUESTION11 twnwest/smellsomethin
WA_QUESTION12 twnwest/carveontomb
WA_QUESTION13 twnwest/waithere
WA_QUESTION14 twnwest/onlywayout
WA_QUESTION15 twnwest/mabelshen
WA_QUESTION16 twnwest/newsmen
WA_QUESTION17 twnwest/catchmeone
WA_QUESTION18 twnwest/outlawskillus
WA_QUESTION19 twnwest/injuntrick
WA_QUESTION20 twnwest/keystothebank
WA_QUESTION21 twnwest/eatsnake
WA_QUESTION22 twnwest/tellwheresherrif
WA_QUESTION23 twnwest/mexicanfellers
WA_QUESTION24 twnwest/smellsmoke
WA_QUESTION25 twnwest/ihavenoidea
WA_QUESTION26 twnwest/dangwhatnext

// Generic Answers
WA_ANSWER0 twnwest/imnotsure
WA_ANSWER1 twnwest/dontknowsure
WA_ANSWER2 twnwest/maybee
WA_ANSWER3 twnwest/couldbezeke
WA_ANSWER4 twnwest/couldbe
WA_ANSWER5 twnwest/somefolksayso
WA_ANSWER6 twnwest/whyareyouaskin
WA_ANSWER7 twnwest/stopyellin
WA_ANSWER8 twnwest/ofcourse
WA_ANSWER9 twnwest/absolutely
WA_ANSWER10 twnwest/yessiree
WA_ANSWER11 twnwest/ireckonso
WA_ANSWER12 twnwest/right
WA_ANSWER13 twnwest/sureboutthat
WA_ANSWER14 twnwest/nodenyinit
WA_ANSWER15 twnwest/nodoubtinit
WA_ANSWER16 twnwest/yep
WA_ANSWER17 twnwest/ofcourseitaint
WA_ANSWER18 twnwest/thereaintnoway
WA_ANSWER19 twnwest/nope
WA_ANSWER20 twnwest/idontthinkso
WA_ANSWER21 twnwest/twoheadedchicken
WA_ANSWER22 twnwest/aintserious
WA_ANSWER23 twnwest/cantsayiknow
WA_ANSWER24 twnwest/justplaincrazy
WA_ANSWER25 twnwest/shutup
WA_ANSWER26 twnwest/yourguess
WA_ANSWER27 twnwest/dumbquestions
WA_ANSWER28 twnwest/askyouthat
WA_ANSWER29 twnwest/ihearddifferent

//When Townies are idle (post masacre)
WA_IDLE0 twnwest/armyleftfort
WA_IDLE1 twnwest/braypass 
WA_IDLE2 twnwest/oldsheriff
WA_IDLE3 twnwest/nothinasbad
WA_IDLE4 twnwest/hangedbandits
WA_IDLE5 twnwest/backeast
WA_IDLE6 twnwest/gangresponsible
WA_IDLE7 twnwest/overheard
WA_IDLE8 twnwest/pearlhandledcolts
WA_IDLE9 twnwest/sortthismess
WA_IDLE10 twnwest/oldzeke
WA_IDLE11 twnwest/myshotgun
WA_IDLE12 twnwest/chickenfeed
WA_IDLE13 twnwest/whatisnoise

// Warning Player
WA_NOGO twnwest/nogo

// Sees monster 
WA_MONST0 twnwest/prizechicken
WA_MONST1 twnwest/liketrouble

// Hears something
WA_HEAR0 twnwest/ihearsomethin
WA_HEAR1 twnwest/didyouhearthat
WA_HEAR2 twnwest/hearmovin

// Smells something
WA_SMELL0 twnwest/zekeslongjons
WA_SMELL1 twnwest/backofhorse
WA_SMELL2 twnwest/smellsouthouse
WA_SMELL3 twnwest/whatsthatsmell

// Is wounded
WA_WOUND0 twnwest/fleshwound
WA_WOUND1 twnwest/cleanthrough

// Is mortaly wounded
WA_MORTAL0 twnwest/imagonner
WA_MORTAL1 twnwest/imhurtbad

// Sees wounded player
WA_CUREA twnwest/woundbad
WA_CUREB twnwest/yerwounded
WA_CUREC twnwest/useashot

// Player USES when wounded
WA_HEAL0 twnwest/greasyhair
WA_HEAL1 twnwest/shotofthis
WA_HEAL2 twnwest/woundbad, swigofthis
WA_HEAL3 twnwest/yerwounded, tryashot
WA_HEAL4 twnwest/useashot, medicinal
WA_HEAL5 twnwest/yerwounded, whiskyforpain
WA_HEAL6 twnwest/woundbad, makebetter
WA_HEAL7 twnwest/mouthfull

// Pre-massacre Hellos
WA_PHELLO0 twnwest/howdysheriff
WA_PHELLO1 twnwest/fineday
WA_PHELLO2 twnwest/mornin
WA_PHELLO3 twnwest/goodday
WA_PHELLO4 twnwest/hello2
WA_PHELLO5 twnwest/hellothere
WA_PHELLO6 twnwest/rogan

// Generic questions
WA_PQUEST0 twnwest/horseshoe
WA_PQUEST1 twnwest/waistcoat
WA_PQUEST2 twnwest/railroad
WA_PQUEST3 twnwest/oillamps
WA_PQUEST4 twnwest/grizzlybear
WA_PQUEST5 twnwest/beansinatin
WA_PQUEST6 twnwest/cyotees
WA_PQUEST7 twnwest/preacher
WA_PQUEST8 twnwest/poker
WA_PQUEST9 twnwest/whisky
WA_PQUEST10 twnwest/catfish
WA_PQUEST11 twnwest/horse
WA_PQUEST12 twnwest/roswell 
WA_PQUEST13 twnwest/readnwrite
WA_PQUEST14 twnwest/newplow
WA_PQUEST15 twnwest/eggs
WA_PQUEST16 twnwest/women
WA_PQUEST17 twnwest/oldman

// Pre masacre Idles
WA_PIDLE0 twnwest/leftmyhorse
WA_PIDLE1 twnwest/spurs
WA_PIDLE2 twnwest/stagelate
WA_PIDLE3 twnwest/saloonopen
WA_PIDLE4 twnwest/forgotwhatsaying
WA_PIDLE5 twnwest/rainthisyear
WA_PIDLE6 twnwest/movingpictures
WA_PIDLE7 twnwest/gurdengulch
WA_PIDLE8 twnwest/tumbleweed
WA_PIDLE9 twnwest/useadrink
WA_PIDLE10 twnwest/harmonica

// If you try and use townies before the massacre
WA_POK0 twnwest/feedchickens
WA_POK1 twnwest/supplies
WA_POK2 twnwest/pokergame
WA_POK3 twnwest/undertaker
WA_POK4 twnwest/kindabusy

// Is scared of player
WA_PLFEAR0 twnwest/whatareyoudoin
WA_PLFEAR1 twnwest/takemuchmore
WA_PLFEAR2 twnwest/plainmadness
WA_PLFEAR3 twnwest/pleaseno
WA_PLFEAR4 twnwest/goongit
WA_PLFEAR5 twnwest/whosside

// Is scared by player actions
WA_SCARED0 twnwest/whatthehell
WA_SCARED1 twnwest/stopattacking
WA_SCARED2 twnwest/maddernsnake

// Townie is terrified
WA_FEAR0 twnwest/fear0
WA_FEAR1 twnwest/diejustyet
WA_FEAR2 twnwest/noo
WA_FEAR3 twnwest/makeoutalive
WA_FEAR4 twnwest/fear6,ohdarn
WA_FEAR5 twnwest/fear0,ohno
WA_FEAR6 twnwest/fear6
WA_FEAR7 twnwest/ohno
WA_FEAR8 twnwest/ohnoo
WA_FEAR9 twnwest/ohnooo
WA_FEAR10 twnwest/ohdarn
WA_FEAR11 twnwest/ohdarnit
WA_FEAR12 twnwest/fear6,noo

// Townie Screams
WA_SCREAM0 twnwest/scream0
WA_SCREAM1 twnwest/scream1
WA_SCREAM2 twnwest/scream2
WA_SCREAM3 twnwest/scream3
WA_SCREAM4 twnwest/scream4
WA_SCREAM5 twnwest/ohno2
WA_SCREAM6 twnwest/no scream6
WA_SCREAM7 twnwest/scream7
WA_SCREAM8 twnwest/scream8
WA_SCREAM9 twnwest/scream9
WA_SCREAM10 twnwest/ohhell
WA_SCREAM11 twnwest/whatthe scream4
WA_SCREAM12 twnwest/no
WA_SCREAM13 twnwest/gitaway
WA_SCREAM14 twnwest/whatthe,no

//*************
//*** Annie ***
//*************

// When USED and told to follow
AN_OK0 annie/wanthelp
AN_OK1 annie/workwell
AN_OK2 annie/countmein
AN_OK3 annie/beenpractise
AN_OK4 annie/gladtohelp
AN_OK5 annie/letsgo
AN_OK6 annie/moveout

// When USED and told to stay
AN_WAIT0 annie/illwaithere
AN_WAIT1 annie/neverletme
AN_WAIT2 annie/slowyoudown
AN_WAIT3 annie/okillhide
AN_WAIT4 annie/dontforget
AN_WAIT5 annie/dontworry

// Post masacre hellos
AN_HELLO0 annie/hisheriff
AN_HELLO1 annie/swellday
AN_HELLO2 annie/howdysheriff
AN_HELLO3 annie/hellothere
AN_HELLO4 annie/howdy
AN_HELLO5 annie/hello
AN_HELLO6 annie/hithere

//Generic Post Masacre Annie Questions
AN_QUESTION0 annie/lemonade
AN_QUESTION1 annie/cantgetworse
AN_QUESTION2 annie/aimsbetter
AN_QUESTION3 annie/tellpractice
AN_QUESTION4 annie/shootwoman
AN_QUESTION5 annie/whatsgoingon
AN_QUESTION6 annie/notscaredyou
AN_QUESTION7 annie/thinkexcite
AN_QUESTION8 annie/giveup
AN_QUESTION9 annie/hearthat
AN_QUESTION10 annie/whatmetodo
AN_QUESTION11 annie/seemoveing
AN_QUESTION12 annie/hosslikeme
AN_QUESTION13 annie/missinteeth

// Generic Annie Answers
AN_ANSWER0 annie/donthinkso
AN_ANSWER1 annie/reckonso
AN_ANSWER2 annie/soundsright
AN_ANSWER3 annie/iguesso
AN_ANSWER4 annie/eggsiseggs
AN_ANSWER5 annie/surething
AN_ANSWER6 annie/yes
AN_ANSWER7 annie/dontaskme
AN_ANSWER8 annie/putmoneyonit
AN_ANSWER9 annie/hogwash
AN_ANSWER10 annie/youdontsay
AN_ANSWER11 annie/dontbeleive
AN_ANSWER12 annie/hardone
AN_ANSWER13 annie/idontknow
AN_ANSWER14 annie/nope
AN_ANSWER15 annie/nosiree
AN_ANSWER16 annie/cantfigure
AN_ANSWER17 annie/maybee
AN_ANSWER18 annie/notelling
AN_ANSWER19 annie/tattle
AN_ANSWER20 annie/wingsoff
AN_ANSWER21 annie/askyesterday

// Player is staring at Annie
AN_STARE0 annie/rudestare
AN_STARE1 annie/whatnow
AN_STARE2 annie/bigbutt
AN_STARE3 annie/holesock

// Annie is idle Post masacre
AN_IDLE0 annie/thinking
AN_IDLE1 annie/coffee
AN_IDLE2 annie/harmonica
AN_IDLE3 annie/gotochurch
AN_IDLE4 annie/newbeans
AN_IDLE5 annie/lookcloud
AN_IDLE6 annie/gladpractise
AN_IDLE7 annie/intuition
AN_IDLE8 annie/hotbath
AN_IDLE9 annie/sunhotoday
AN_IDLE10 annie/hosslike

// Annie is attacking something
AN_ATTACK0 annie/binpractise
AN_ATTACK1 annie/aimbetter
AN_ATTACK2 annie/shootem
AN_ATTACK3 annie/bitleft
AN_ATTACK4 annie/gunstraight
AN_ATTACK5 annie/sightsout

// Annie hears something
AN_HEAR0 annie/hearsomethin
AN_HEAR1 annie/hearanoise
AN_HEAR2 annie/soundsbad

// Annie smells something
AN_SMELL0 annie/outhouse
AN_SMELL1 annie/deadbird
AN_SMELL2 annie/smell

// Annie sees a wounded player
AN_CUREA annie/youbeenhit
AN_CUREB annie/woundclean
AN_CUREC annie/woundpain

// Annie is scared by player actions
AN_SCARED0 annie/whatareyou
AN_SCARED1 annie/stopitonce

// Annie is wounded
AN_WOUND0 annie/owww
AN_WOUND1 annie/beenhit

// Annie is mortaly wounded
AN_MORTAL0 annie/notmakeit

// Player has shot Annie
AN_SHOT0 annie/owww,dothatfor
AN_SHOT1 annie/whatsmatter
AN_SHOT2 annie/whatthe,stopitonce
AN_SHOT3 annie/cutitout
AN_SHOT4 annie/whatswrong
AN_SHOT5 annie/owww,hopeaccident

// Annie is mad at the player
AN_MAD0 annie/prayimiss
AN_MAD1 annie/enoughis
AN_MAD2 annie/liedown
AN_MAD3 annie/takenomore
AN_MAD4 annie/owww,thatdoesit
AN_MAD5 annie/wayyouwantit
AN_MAD6 annie/turnonme

// Annie has killed something
AN_KILL0 annie/goshseethat
AN_KILL1 annie/oneshot
AN_KILL2 annie/seemyaim
AN_KILL3 annie/tincans
AN_KILL4 annie/sureidmissed
AN_KILL5 annie/diddntthink
AN_KILL6 annie/onebullet

// Annie cant oblige when you use him (Pre Massacre)
AN_POK0 annie/littlebusy
AN_POK1 annie/visitouthouse
AN_POK2 annie/chorestodo
AN_POK3 annie/fiveminutes

// Annie cant follow you anymore
AN_STOP0 annie/corsets
AN_STOP1 annie/toohardforme
AN_STOP2 annie/needrest

//************************
//****   The Colonel  ****
//************************

// Training Ranch Scripts - make these generic scripts!

CO_TRAIN1 colonel/ranch1
CO_TRAIN2 colonel/ranch2
CO_TRAIN3 colonel/ranch3
CO_TRAIN4 colonel/ranch4
CO_TRAIN5 colonel/ranch5
CO_TRAIN6 colonel/ranch6
CO_TRAIN7 colonel/ranch7
CO_TRAIN8 colonel/ranch8
CO_TRAIN9 colonel/ranch9
CO_TRAIN10 colonel/ranch10
CO_TRAIN11 colonel/ranch11
CO_TRAIN12 colonel/ranch12
CO_TRAIN13 colonel/ranch13
CO_TRAIN14 colonel/ranch14
CO_TRAIN15 colonel/ranch15
CO_TRAIN16 colonel/ranch16

//************************
//**** Crispen Smythe ****
//**** v1.2  26/10/00 ****
//************************

// When USED and told to follow
CS_OK0 crispen/whatuse
CS_OK1 crispen/allrightthen
CS_OK2 crispen/letsgeton

// When USED and told to stay
CS_WAIT0 crispen/illstay
CS_WAIT1 crispen/illwait
CS_WAIT2 crispen/stayhere

// Fail to follow player any more
CS_STOP0 crispen/notstep
CS_STOP1 crispen/helpothers

// Player is staring at Crispen
CS_STARE0 crispen/rulost
CS_STARE1 crispen/canihelpyou

// Post masacre hellos 
CS_HELLO0 crispen/sheriffthankgod
CS_HELLO1 crispen/saidyouweredead
CS_HELLO2 crispen/mrblack
CS_HELLO3 crispen/thankyourback
CS_HELLO4 crispen/brigands
CS_HELLO5 crispen/inonepiece

// Generic Answers
CS_ANSWER0 crispen/idlechatter
CS_ANSWER1 crispen/asksomeoneelse
CS_ANSWER2 crispen/icantsay
CS_ANSWER3 crispen/idontknow
CS_ANSWER4 crispen/postulate
CS_ANSWER5 crispen/askoldzeke
CS_ANSWER6 crispen/writeninbook
CS_ANSWER7 crispen/stopshouting
CS_ANSWER8 crispen/yesmaybeeno
CS_ANSWER9 crispen/absolutlynot
CS_ANSWER10 crispen/ibegpardon
CS_ANSWER11 crispen/hogwash

//Generic Post Masacre Questions
CS_QUESTION0 crispen/ruffians
CS_QUESTION1 crispen/telegraphed
CS_QUESTION2 crispen/listentoreason
CS_QUESTION3 crispen/whydidimove
CS_QUESTION4 crispen/damagestuff
CS_QUESTION5 crispen/myglasses
CS_QUESTION6 crispen/seendawson
CS_QUESTION7 crispen/creatediversion
CS_QUESTION8 crispen/mycollection
CS_QUESTION9 crispen/frightfull

//When Crispen is idle (post masacre)
CS_IDLE0 crispen/polishshoes(P98)
CS_IDLE1 crispen/stoleduster(P101) seentoday
CS_IDLE2 crispen/cleanshoes
CS_IDLE3 crispen/redwing
CS_IDLE4 crispen/spoiledpie
CS_IDLE5 crispen/pressing
CS_IDLE6 crispen/cleanmess

// Warning Player
CS_NOGO crispen/dontgo

// Sees monster
CS_MONST0 crispen/prizebirds
CS_MONST1 crispen/goodness

//Hears something
CS_HEAR0 crispen/whatwasthat
CS_HEAR1 crispen/hearsomething

//Smells Something
CS_SMELL0 crispen/vilesmell
CS_SMELL1 crispen/intollerable

//Crispen is Wounded
CS_WOUND0 crispen/ohhh
CS_WOUND0 crispen/ohmyword

// Crispen is mortaly wounded
CS_MORTAL0 cripen/mummy

// Sees wounded player
CS_CUREA crispen/yourwounded
CS_CUREB crispen/bloodonshirt

// Player USES when wounded
CS_HEAL0 crispen/needsomeofthis
CS_HEAL0 crispen/wipelips
CS_HEAL0 crispen/sipofthis

// Crispen is scared of player
CS_PLFEAR0 crispen/whatrudoing
CS_PLFEAR1 crispen/playingat
CS_PLFEAR2 crispen/barkingmad

// Crispen is terrified
CS_FEAR0 crispen/breath deargod(p98)
CS_FEAR1 crispen/barkingmad(p102)
CS_FEAR2 crispen/youarecrazy

// Crispen Screams
CS_SCREAM0 crispen/scream0
CS_SCREAM1 crispen/scream1
CS_SCREAM2 crispen/help
CS_SCREAM3 crispen/scream3
CS_SCREAM4 crispen/scream4
CS_SCREAM5 crispen/mummmmy

// Is scared by player actions
CS_SCARED0 crispen/ohdear
CS_SCARED1 crispen/isaywhat

// Pre-massacre Hellos
CS_PHELLO0 crispen/gooddaytoyou
CS_PHELLO1 crispen/hellothere
CS_PHELLO2 crispen/goodmorning

//Pre-massacre Questions
CS_PQUEST0 crispen/duster
CS_PQUEST1 crispen/butterflys
CS_PQUEST2 crispen/spottedadmiral
CS_PQUEST3 crispen/gazzette
CS_PQUEST4 crispen/beansinatin
CS_PQUEST5 crispen/seenpreacher
CS_PQUEST6 crispen/telnorp
CS_PQUEST7 crispen/amazongreen
CS_PQUEST8 crispen/dawsontoday

// Pre masacre Idles
CS_PIDLE0 crispen/polishshoes
CS_PIDLE1 crispen/stoleduster
CS_PIDLE2 crispen/polishbrass
CS_PIDLE3 crispen/writeletter
CS_PIDLE4 crispen/redwing
CS_PIDLE5 crispen/polishstove
CS_PIDLE6 crispen/makeapie

// If you try and use Crispen before the massacre
CS_POK0 crispen/section12
CS_POK1 crispen/intherules
CS_POK2 crispen/abandon
CS_POK3 crispen/rule27b
CS_POK4 crispen/breakrules

//************************
//**** Dynamite Dave *****
//**** v1.1 16/11/00 *****
//************************

// When USED and told to follow
DD_OK0 dyndave/ddnoprob
DD_OK1 dyndave/ddwithyou
DD_OK2 dyndave/ddfershure

//When used and told to wait.
DD_WAIT0 dyndave/ddshantmove
DD_WAIT1 dyndave/ddillwait
DD_WAIT2 dyndave/ddnotneeded

//Failed to follow player
DD_STOP0 dyndave/ddtoodrunk
DD_STOP1 dyndave/ddnotgoon

//Player is staring
DD_STARE0 dyndave/ddstare

//post masacre hellos
DD_HELLO0 dyndave/ddtomornin
DD_HELLO1 dyndave/ddhowudoin
DD_HELLO2 dyndave/ddgrandday
DD_HELLO3 dyndave/ddwelcome

//Generic Answers
DD_ANSWER0 dyndave/dddontknow
DD_ANSWER1 dyndave/ddcouldbeso
DD_ANSWER2 dyndave/ddnotsure
DD_ANSWER3 dyndave/ddaskpope

//Generic Questions
DD_QUESTION0 dyndave/ddbuyrock
DD_QUESTION1 dyndave/ddminersweekly
DD_QUESTION2 dyndave/ddsaloon
DD_QUESTION3 dyndave/ddopenyet
DD_QUESTION4 dyndave/ddmother

//Dave is idle
DD_IDLE0 dyndave/dddrythroat
DD_IDLE1 dyndave/ddbathmonth
DD_IDLE2 dyndave/ddrailroad
DD_IDLE3 dyndave/ddcompany

//Hears something
DD_HEAR0 dyndave/ddwhatdevil

//Smells Something
DD_SMELL0 dyndave/ddsocks

//Is wounded
DD_WOUND0 dyndave/ddgash
DD_WOUND1 dyndave/ddmajor
DD_WOUND2 dyndave/ddfinished

//Dave sees a wounded player
DD_CURE0 dynadave/ddyouok

//Dave heals a wounded player
DD_HEAL0 dyndave/dddropofirish

